
2022/07/03 (02:26:02) | ===> btop++ v.1.2.7
2022/07/03 (02:26:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/07/03 (18:50:02) | ===> btop++ v.1.2.7
2022/07/03 (18:50:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/07/03 (23:14:58) | ===> btop++ v.1.2.7
2022/07/03 (23:14:58) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/07/03 (23:19:48) | ===> btop++ v.1.2.7
2022/07/03 (23:19:48) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/07/03 (23:20:36) | ===> btop++ v.1.2.7
2022/07/03 (23:20:36) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/07/03 (23:20:45) | ===> btop++ v.1.2.7
2022/07/03 (23:20:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/07/03 (23:20:56) | ===> btop++ v.1.2.7
2022/07/03 (23:20:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/07/03 (23:23:45) | ===> btop++ v.1.2.7
2022/07/03 (23:23:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/07/04 (00:43:02) | ===> btop++ v.1.2.7
2022/07/04 (00:43:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/07/04 (12:54:53) | ===> btop++ v.1.2.7
2022/07/04 (12:54:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/07/04 (13:36:50) | ===> btop++ v.1.2.7
2022/07/04 (13:36:50) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/07/04 (13:36:54) | ===> btop++ v.1.2.7
2022/07/04 (13:36:54) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/07/05 (02:21:31) | ===> btop++ v.1.2.7
2022/07/05 (02:21:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/07/05 (12:40:32) | ===> btop++ v.1.2.7
2022/07/05 (12:40:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/07/05 (22:47:31) | ===> btop++ v.1.2.7
2022/07/05 (22:47:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/07/07 (16:27:41) | ===> btop++ v.1.2.7
2022/07/07 (16:27:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/07/07 (17:52:35) | ===> btop++ v.1.2.7
2022/07/07 (17:52:35) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/07/07 (21:21:17) | ===> btop++ v.1.2.7
2022/07/07 (21:21:17) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
